Team,City,State
Anaheim Ducks,Anaheim,CA
Texas Rangers,Arlington,TX
Atlanta Braves,Atlanta,GA
Atlanta United,Atlanta,GA
Atlanta Hawks,Atlanta,GA
Atlanta Falcons,Atlanta,GA
Baltimore Orioles,Baltimore,MD
Baltimore Ravens,Baltimore,MD
Boston Red Sox,Boston,MA
New England Revolution,Boston,MA
Boston Celtics,Boston,MA
New England Patriots,Boston,MA
Boston Bruins,Boston,MA
Buffalo Bills,Buffalo,NY
Buffalo Sabres,Buffalo,NY
Calgary Flames,Calgary,AB
Charlotte Hornets,Charlotte,NC
Carolina Panthers,Charlotte,NC
Chicago Cubs,Chicago,IL
Chicago White Sox,Chicago,IL
Chicago Fire,Chicago,IL
Chicago Bulls,Chicago,IL
Chicago Bears,Chicago,IL
Chicago Blackhawks,Chicago,IL
Cincinnati Reds,Cincinnati,OH
Cincinnati Bengals,Cincinnati,OH
Cleveland Indians,Cleveland,OH
Cleveland Cavaliers,Cleveland,OH
Cleveland Browns,Cleveland,OH
Columbus Crew,Columbus,OH
Columbus Blue Jackets,Columbus,OH
FC Dallas,Dallas,TX
Dallas Mavericks,Dallas,TX
Dallas Cowboys,Dallas,TX
Dallas Stars,Dallas,TX
Colorado Rockies,Denver,CO
Colorado Rapids,Denver,CO
Denver Nuggets,Denver,CO
Denver Broncos,Denver,CO
Colorado Avalanche,Denver,CO
Detroit Tigers,Detroit,MI
Detroit Pistons,Detroit,MI
Detroit Lions,Detroit,MI
Detroit Red Wings,Detroit,MI
Edmonton Oilers,Edmonton,AB
Green Bay Packers,Green Bay,WI
Houston Astros,Houston,TX
Houston Dynamo,Houston,TX
Houston Rockets,Houston,TX
Houston Texans,Houston,TX
Indiana Pacers,Indianapolis,IN
Indianapolis Colts,Indianapolis,IN
Jacksonville Jaguars,Jacksonville,FL
Kansas City Royals,Kansas City,MO
Sporting Kansas City,Kansas City,MO
Kansas City Chiefs,Kansas City,MO
Vegas Golden Knights,Las Vegas,NV
Los Angeles Angels,Los Angeles,CA
Los Angeles Dodgers,Los Angeles,CA
LA Galaxy,Los Angeles,CA
Los Angeles FC,Los Angeles,CA
Los Angeles Clippers,Los Angeles,CA
Los Angeles Lakers,Los Angeles,CA
Los Angeles Chargers,Los Angeles,CA
Los Angeles Rams,Los Angeles,CA
Los Angeles Kings,Los Angeles,CA
Memphis Grizzlies,Memphis,TN
Miami Marlins,Miami,FL
Miami Heat,Miami,FL
Miami Dolphins,Miami,FL
Florida Panthers,Miami,FL
Milwaukee Brewers,Milwaukee,WI
Milwaukee Bucks,Milwaukee,WI
Minnesota Twins,Minneapolis,MN
Minnesota United,Minneapolis,MN
Minnesota Timberwolves,Minneapolis,MN
Minnesota Vikings,Minneapolis,MN
Minnesota Wild,Minneapolis,MN
Montreal Impact,Montreal,QC
Montreal Canadiens,Montreal,QC
Tennessee Titans,Nashville,TN
Nashville Predators,Nashville,TN
New Orleans Pelicans,New Orleans,LA
New Orleans Saints,New Orleans,LA
New York Yankees,New York,NY
New York Mets,New York,NY
New York City FC,New York,NY
New York Red Bulls,New York,NY
Brooklyn Nets,New York,NY
New York Knicks,New York,NY
New York Giants,New York,NY
New York Jets,New York,NY
New York Islanders,New York,NY
New York Rangers,New York,NY
New Jersey Devils,Newark,NJ
Oakland Athletics,Oakland,CA
Oakland Raiders,Oakland,CA
Oklahoma City Thunder,Oklahoma City,OK
Orlando City,Orlando,FL
Orlando Magic,Orlando,FL
Ottawa Senators,Ottawa,ON
Philadelphia Phillies,Philadelphia,PA
Philadelphia Union,Philadelphia,PA
Philadelphia 76ers,Philadelphia,PA
Philadelphia Eagles,Philadelphia,PA
Philadelphia Flyers,Philadelphia,PA
Arizona Diamondbacks,Phoenix,AZ
Phoenix Suns,Phoenix,AZ
Arizona Cardinals,Phoenix,AZ
Arizona Coyotes,Phoenix,AZ
Pittsburgh Pirates,Pittsburgh,PA
Pittsburgh Steelers,Pittsburgh,PA
Pittsburgh Penguins,Pittsburgh,PA
Portland Timbers,Portland,OR
Portland Trail Blazers,Portland,OR
Carolina Hurricanes,Raleigh,NC
Sacramento Kings,Sacramento,CA
St. Louis Cardinals,Saint Louis,MO
St Louis Blues,Saint Louis,MO
Real Salt Lake,Salt Lake City,UT
Utah Jazz,Salt Lake City,UT
San Antonio Spurs,San Antonio,TX
San Diego Padres,San Diego,CA
San Francisco Giants,San Francisco,CA
Golden State Warriors,San Francisco,CA
San Francisco 49ers,San Francisco,CA
San Jose Earthquakes,San Jose,CA
San Jose Sharks,San Jose,CA
Seattle Mariners,Seattle,WA
Seattle Sounders,Seattle,WA
Seattle Seahawks,Seattle,WA
Tampa Bay Rays,Tampa Bay,FL
Tampa Bay Buccaneers,Tampa Bay,FL
Tampa Bay Lightning,Tampa Bay,FL
Toronto Blue Jays,Toronto,ON
Toronto FC,Toronto,ON
Toronto Raptors,Toronto,ON
Toronto Maple Leafs,Toronto,ON
Vancouver Whitecaps,Vancouver,BC
Vancouver Canucks,Vancouver,BC
Washington Nationals,Washington,DC
DC United,Washington,DC
Washington Wizards,Washington,DC
Washington Redskins,Washington,DC
Washington Capitals,Washington,DC
Winnipeg Jets,Winnipeg,MB
