Team,Points_For,Points_Against,Wins,Games,Wins_Per,City
Arizona Diamondbacks,433,408,45,115,0.39,Phoenix
Atlanta Braves,578,493,63,136,0.46,Atlanta
Baltimore Orioles,523,663,39,138,0.28,Baltimore
Boston Red Sox,590,447,75,139,0.54,Boston
Chicago Cubs,325,306,36,102,0.35,Chicago
Chicago White Sox,267,358,24,97,0.25,Chicago
Cincinnati Reds,549,607,51,133,0.38,Cincinnati
Cleveland Indians,648,471,67,133,0.5,Cleveland
Colorado Rockies,484,472,54,116,0.47,Denver
Detroit Tigers,419,499,41,132,0.31,Detroit
Houston Astros,488,371,56,112,0.5,Houston
Kansas City Royals,273,353,21,98,0.21,Kansas City
Los Angeles Angels,316,281,31,99,0.31,Los Angeles
Los Angeles Dodgers,347,264,43,101,0.43,Los Angeles
Miami Marlins,413,535,43,126,0.34,Miami
Milwaukee Brewers,484,435,57,124,0.46,Milwaukee
Minnesota Twins,459,467,49,120,0.41,Minneapolis
New York Mets,302,357,28,114,0.25,New York
New York Yankees,337,302,41,119,0.34,New York
Oakland Athletics,422,448,52,111,0.47,Oakland
Philadelphia Phillies,552,517,65,139,0.47,Philadelphia
Pittsburgh Pirates,553,604,51,141,0.36,Pittsburgh
San Diego Padres,251,305,27,98,0.28,San Diego
San Francisco Giants,266,304,30,95,0.32,San Francisco
Seattle Mariners,473,473,57,117,0.49,Seattle
St. Louis Cardinals,342,319,39,100,0.39,Saint Louis
Tampa Bay Rays,297,314,38,115,0.33,Tampa Bay
Texas Rangers,543,594,45,125,0.36,Arlington
Toronto Blue Jays,541,561,59,141,0.42,Toronto
Washington Nationals,367,314,38,118,0.32,Washington
