Team,Points_For,Points_Against,Wins,Games,Wins_Per,City
Arizona Cardinals,225,425,3,16,0.19,Phoenix
Atlanta Falcons,380,394,6,15,0.4,Atlanta
Baltimore Ravens,406,310,10,17,0.59,Baltimore
Buffalo Bills,269,374,6,16,0.38,Buffalo
Carolina Panthers,376,382,7,16,0.44,Charlotte
Chicago Bears,436,299,12,17,0.71,Chicago
Cincinnati Bengals,368,455,6,16,0.38,Cincinnati
Cleveland Browns,359,393,7,16,0.44,Cleveland
Dallas Cowboys,385,376,11,18,0.61,Dallas
Denver Broncos,329,349,6,16,0.38,Denver
Detroit Lions,324,360,6,16,0.38,Detroit
Green Bay Packers,376,400,6,16,0.38,Green Bay
Houston Texans,409,337,11,17,0.65,Houston
Indianapolis Colts,467,382,11,18,0.61,Indianapolis
Jacksonville Jaguars,245,316,5,16,0.31,Jacksonville
Kansas City Chiefs,627,471,13,18,0.72,Kansas City
Los Angeles Chargers,479,387,13,18,0.72,Los Angeles
Los Angeles Rams,586,442,15,19,0.79,Los Angeles
Miami Dolphins,319,433,7,16,0.44,Miami
Minnesota Vikings,360,341,8,16,0.5,Minneapolis
New England Patriots,527,387,14,19,0.74,Boston
New Orleans Saints,547,393,14,18,0.78,New Orleans
New York Giants,369,412,5,16,0.31,New York
New York Jets,334,441,4,16,0.25,New York
Oakland Raiders,290,467,4,16,0.25,Oakland
Philadelphia Eagles,397,383,10,18,0.56,Philadelphia
Pittsburgh Steelers,428,360,9,16,0.56,Pittsburgh
San Francisco 49ers,342,435,4,16,0.25,San Francisco
Seattle Seahawks,450,371,10,17,0.59,Seattle
Tampa Bay Buccaneers,367,430,5,15,0.33,Tampa Bay
Tennessee Titans,310,303,9,16,0.56,Nashville
Washington Redskins,281,359,7,16,0.44,Washington
