Team,City,State,Revenue,Population,Income
Arizona Diamondbacks,Phoenix,AZ,1210000000,1654675,46539
Atlanta Braves,Atlanta,GA,1625000000,498183,53188
Baltimore Orioles,Baltimore,MD,1200000000,602443,62013
Boston Red Sox,Boston,MA,2800000000,691147,78923
Chicago Cubs,Chicago,IL,2900000000,2701423,61642
Chicago White Sox,Chicago,IL,1500000000,2701423,61642
Cincinnati Reds,Cincinnati,OH,1010000000,302277,54055
Cleveland Indians,Cleveland,OH,1045000000,383214,38594
Colorado Rockies,Denver,CO,1100000000,716265,64690
Detroit Tigers,Detroit,MI,1225000000,672977,52572
Houston Astros,Houston,TX,1650000000,2318573,57154
Kansas City Royals,Kansas City,MO,1015000000,492012,53484
Los Angeles Angels,Los Angeles,CA,1800000000,3977596,63886
Los Angeles Dodgers,Los Angeles,CA,3000000000,3977596,63886
Miami Marlins,Miami,FL,1000000000,462819,59151
Milwaukee Brewers,Milwaukee,WI,1030000000,591375,57034
Minnesota Twins,Minneapolis,MN,1150000000,424903,62914
New York Yankees,New York,NY,668000000,8390081,76565
New York Mets,New York,NY,2100000000,8390081,76565
Oakland Athletics,Oakland,CA,1020000000,429056,100236
Philadelphia Phillies,Philadelphia,PA,1700000000,1583592,64228
Pittsburgh Pirates,Pittsburgh,PA,1260000000,300570,58206
San Diego Padres,San Diego,CA,1270000000,1421917,61147
San Francisco Giants,San Francisco,CA,2850000000,880696,100236
Seattle Mariners,Seattle,WA,1450000000,742235,74815
St. Louis Cardinals,Saint Louis,MO,1900000000,303419,55277
Tampa Bay Rays,Tampa Bay,FL,900000000,397232,47332
Texas Rangers,Arlington,TX,1600000000,398123,56864
Toronto Blue Jays,Toronto,ON,1350000000,14393683,89270
Washington Nationals,Washington,DC,1675000000,701547,72340
