Team,City,State,Revenue,Population,Income
Atlanta Hawks,Atlanta,GA,1150000000,498183,53188
Boston Celtics,Boston,MA,2500000000,691147,78923
Brooklyn Nets,New York,NY,2300000000,8390081,76565
Charlotte Hornets,Charlotte,NC,1050000000,872514,52295
Chicago Bulls,Chicago,IL,2600000000,2701423,61642
Cleveland Cavaliers,Cleveland,OH,1325000000,383214,38594
Dallas Mavericks,Dallas,TX,1900000000,1341802,56864
Denver Nuggets,Denver,CO,1125000000,716265,64690
Detroit Pistons,Detroit,MI,1100000000,672977,52572
Golden State Warriors,San Francisco,CA,3100000000,880696,100236
Houston Rockets,Houston,TX,2200000000,2318573,57154
Indiana Pacers,Indianapolis,IN,1175000000,870960,54778
Los Angeles Clippers,Los Angeles,CA,2150000000,3977596,63886
Los Angeles Lakers,Los Angeles,CA,3300000000,3977596,63886
Memphis Grizzlies,Memphis,TN,1025000000,651104,46677
Miami Heat,Miami,FL,1700000000,462819,59151
Milwaukee Bucks,Milwaukee,WI,1075000000,591375,57034
Minnesota Timberwolves,Minneapolis,MN,1060000000,424903,62914
New Orleans Pelicans,New Orleans,LA,1000000000,391004,52963
New York Knicks,New York,NY,3600000000,8390081,76565
Oklahoma City Thunder,Oklahoma City,OK,1250000000,647912,47607
Orlando Magic,Orlando,FL,1225000000,285903,43717
Philadelphia 76ers,Philadelphia,PA,1180000000,1583592,64228
Phoenix Suns,Phoenix,AZ,1280000000,1654675,46539
Portland Trail Blazers,Portland,OR,1300000000,66405,57913
Sacramento Kings,Sacramento,CA,1375000000,507737,56502
San Antonio Spurs,San Antonio,TX,1550000000,1530016,47349
Toronto Raptors,Toronto,ON,1400000000,14393683,89270
Utah Jazz,Salt Lake City,UT,1200000000,200435,52150
Washington Wizards,Washington,DC,1350000000,701547,72340
