Team,City,State,Revenue,Population,Income
Arizona Cardinals,Phoenix,AZ,400000000,1654675,46539
Atlanta Falcons,Atlanta,GA,458000000,498183,53188
Baltimore Ravens,Baltimore,MD,438000000,602443,62013
Buffalo Bills,Buffalo,NY,386000000,255781,50261
Carolina Panthers,Charlotte,NC,424000000,872514,52295
Chicago Bears,Chicago,IL,453000000,2701423,61642
Cincinnati Bengals,Cincinnati,OH,380000000,302277,54055
Cleveland Browns,Cleveland,OH,399000000,383214,38594
Dallas Cowboys,Dallas,TX,950000000,1341802,56864
Denver Broncos,Denver,CO,446000000,716265,64690
Detroit Lions,Detroit,MI,385000000,672977,52572
Green Bay Packers,Green Bay,WI,456000000,104833,51575
Houston Texans,Houston,TX,497000000,2318573,57154
Indianapolis Colts,Indianapolis,IN,393000000,870960,54778
Jacksonville Jaguars,Jacksonville,FL,424000000,902437,50321
Kansas City Chiefs,Kansas City,MO,410000000,492012,53484
Los Angeles Chargers,Los Angeles,CA,375000000,3977596,63886
Los Angeles Rams,Los Angeles,CA,401000000,3977596,63886
Miami Dolphins,Miami,FL,443000000,462819,59151
Minnesota Vikings,Minneapolis,MN,427000000,424903,62914
New England Patriots,Boston,MA,600000000,691147,78923
New Orleans Saints,New Orleans,LA,441000000,391004,52963
New York Giants,New York,NY,519000000,8390081,76565
New York Jets,New York,NY,475000000,8390081,76565
Oakland Raiders,Oakland,CA,357000000,429056,100236
Philadelphia Eagles,Philadelphia,PA,482000000,1583592,64228
Pittsburgh Steelers,Pittsburgh,PA,439000000,300570,58206
San Francisco 49ers,San Francisco,CA,492000000,880696,100236
Seattle Seahawks,Seattle,WA,439000000,742235,74815
Tampa Bay Buccaneers,Tampa Bay,FL,400000000,397232,47332
Tennessee Titans,Nashville,TN,394000000,667006,58779
Washington Redskins,Washington,DC,493000000,701547,72340
