Team,City,State,Revenue,Population,Income
Anaheim Ducks,Anaheim,CA,134000000,350698,63886
Arizona Coyotes,Phoenix,AZ,96000000,1654675,46539
Boston Bruins,Boston,MA,191000000,691147,78923
Buffalo Sabres,Buffalo,NY,128000000,255781,50261
Calgary Flames,Calgary,AB,132000000,4317453,101780
Carolina Hurricanes,Raleigh,NC,109000000,469314,56207
Chicago Blackhawks,Chicago,IL,201000000,2701423,61642
Colorado Avalanche,Denver,CO,119000000,716265,64690
Columbus Blue Jackets,Columbus,OH,111000000,890869,51114
Dallas Stars,Dallas,TX,144000000,1341802,56864
Detroit Red Wings,Detroit,MI,171000000,672977,52572
Edmonton Oilers,Edmonton,AB,145000000,4317453,101780
Florida Panthers,Miami,FL,99000000,462819,59151
Los Angeles Kings,Los Angeles,CA,193000000,3977596,63886
Minnesota Wild,Minneapolis,MN,142000000,306960,62914
Montreal Canadiens,Montreal,QC,239000000,"8,433,888",83780
Nashville Predators,Nashville,TN,132000000,667006,58779
New Jersey Devils,Newark,NJ,166000000,281752,76565
New York Islanders,New York,NY,107000000,8390081,76565
New York Rangers,New York,NY,253000000,8390081,76565
Ottawa Senators,Ottawa,ON,124000000,"14,393,683",89270
Philadelphia Flyers,Philadelphia,PA,186000000,1583592,64228
Pittsburgh Penguins,Pittsburgh,PA,185000000,300570,58206
San Jose Sharks,San Jose,CA,148000000,1028020,108565
St Louis Blues,Saint Louis,MO,148000000,303419,55277
Tampa Bay Lightning,Tampa Bay,FL,146000000,397232,47332
Toronto Maple Leafs,Toronto,ON,232000000,"14,393,683",89270
Vancouver Canucks,Vancouver,BC,168000000,182887,57903
Vegas Golden Knights,Las Vegas,NV,180000000,643228,47759
Washington Capitals,Washington,DC,194000000,701547,72340
Winnipeg Jets,Winnipeg,MB,135000000,"1,357,879",82380
