Geographic Area,2018
"New York city, New York",8390081
"Los Angeles city, California",3977596
"Chicago city, Illinois",2701423
"Houston city, Texas",2318573
"Phoenix city, Arizona",1654675
"Philadelphia city, Pennsylvania",1583592
"San Antonio city, Texas",1530016
"San Diego city, California",1421917
"Dallas city, Texas",1341802
"San Jose city, California",1028020
"Austin city, Texas",962469
"Jacksonville city, Florida",902437
"Fort Worth city, Texas",893216
"Columbus city, Ohio",890869
"Charlotte city, North Carolina",872514
"San Francisco city, California",880696
"Indianapolis city (balance), Indiana",870960
"Seattle city, Washington",742235
"Denver city, Colorado",716265
"Washington city, District of Columbia",701547
"Boston city, Massachusetts",691147
"El Paso city, Texas",679875
"Nashville-Davidson metropolitan government (balance), Tennessee",667006
"Detroit city, Michigan",672977
"Oklahoma City city, Oklahoma",647912
"Portland city, Oregon",650837
"Las Vegas city, Nevada",643228
"Memphis city, Tennessee",651104
"Louisville/Jefferson County metro government (balance), Kentucky",618495
"Baltimore city, Maryland",602443
"Milwaukee city, Wisconsin",591375
"Albuquerque city, New Mexico",559629
"Tucson city, Arizona",544858
"Fresno city, California",528814
"Mesa city, Arizona",507945
"Sacramento city, California",507737
"Atlanta city, Georgia",498183
"Kansas City city, Missouri",492012
"Colorado Springs city, Colorado",472567
"Omaha city, Nebraska",477299
"Raleigh city, North Carolina",469314
"Miami city, Florida",462819
"Long Beach city, California",465865
"Virginia Beach city, Virginia",449849
"Oakland city, California",429056
"Minneapolis city, Minnesota",424903
"Tulsa city, Oklahoma",400414
"Tampa city, Florida",397232
"Arlington city, Texas",398123
"New Orleans city, Louisiana",391004
"Wichita city, Kansas",389231
"Bakersfield city, California",381714
"Cleveland city, Ohio",383214
"Aurora city, Colorado",374572
"Anaheim city, California",350698
"Urban Honolulu CDP, Hawaii",346945
"Santa Ana city, California",331912
"Riverside city, California",329654
"Corpus Christi city, Texas",326307
"Lexington-Fayette urban county, Kentucky",322426
"Henderson city, Nevada",309518
"Stockton city, California",311628
"St. Paul city, Minnesota",306960
"Cincinnati city, Ohio",302277
"St. Louis city, Missouri",303419
"Pittsburgh city, Pennsylvania",300570
"Greensboro city, North Carolina",294518
"Lincoln city, Nebraska",286930
"Anchorage municipality, Alaska",290521
"Plano city, Texas",288747
"Orlando city, Florida",285903
"Irvine city, California",281732
"Newark city, New Jersey",281752
"Durham city, North Carolina",274557
"Chula Vista city, California",270819
"Toledo city, Ohio",274864
"Fort Wayne city, Indiana",267460
"St. Petersburg city, Florida",264466
"Laredo city, Texas",260856
"Jersey City city, New Jersey",263851
"Chandler city, Arizona",257186
"Madison city, Wisconsin",257854
"Lubbock city, Texas",256469
"Scottsdale city, Arizona",254479
"Reno city, Nevada",250146
"Buffalo city, New York",255781
"Gilbert town, Arizona",249914
"Glendale city, Arizona",249955
"North Las Vegas city, Nevada",245349
"Winston-Salem city, North Carolina",246535
"Chesapeake city, Virginia",242359
"Norfolk city, Virginia",243585
"Fremont city, California",237811
"Garland city, Texas",241709
"Irving city, Texas",241424
"Hialeah city, Florida",234941
"Richmond city, Virginia",229221
"Boise City city, Idaho",228442
"Spokane city, Washington",219332
"Baton Rouge city, Louisiana",222190
"Tacoma city, Washington",216111
"San Bernardino city, California",216323
"Modesto city, California",214389
"Fontana city, California",213202
"Des Moines city, Iowa",215994
"Moreno Valley city, California",208889
"Santa Clarita city, California",213549
"Fayetteville city, North Carolina",210748
"Birmingham city, Alabama",210487
"Oxnard city, California",209271
"Rochester city, New York",206004
"Port St. Lucie city, Florida",194808
"Grand Rapids city, Michigan",200136
"Huntsville city, Alabama",198125
"Salt Lake City city, Utah",200435
"Frisco city, Texas",188452
"Yonkers city, New York",199883
"Amarillo city, Texas",199183
"Glendale city, California",200688
"Huntington Beach city, California",200126
"McKinney city, Texas",191748
"Montgomery city, Alabama",198899
"Augusta-Richmond County consolidated government (balance), Georgia",197025
"Aurora city, Illinois",199199
"Akron city, Ohio",197884
"Little Rock city, Arkansas",197484
"Tempe city, Arizona",191746
"Columbus city, Georgia",194169
"Overland Park city, Kansas",192724
"Grand Prairie city, Texas",193989
"Tallahassee city, Florida",192763
"Cape Coral city, Florida",189468
