Metropolitan Statistical Areas,2018.00
"Abilene, TX",43585.00
"Akron, OH",49556.00
"Albany, GA",38034.00
"Albany-Lebanon, OR",43327.00
"Albany-Schenectady-Troy, NY",58443.00
"Albuquerque, NM",42469.00
"Alexandria, LA",43015.00
"Allentown-Bethlehem-Easton, PA-NJ",53538.00
"Altoona, PA",46539.00
"Amarillo, TX",46374.00
"Ames, IA",43785.00
"Anchorage, AK",61825.00
"Ann Arbor, MI",58823.00
"Anniston-Oxford, AL",36988.00
"Appleton, WI",51042.00
"Asheville, NC",45759.00
"Athens-Clarke County, GA",40692.00
"Atlanta-Sandy Springs-Alpharetta, GA",53188.00
"Atlantic City-Hammonton, NJ",48548.00
"Auburn-Opelika, AL",38378.00
"Augusta-Richmond County, GA-SC",42075.00
"Austin-Round Rock-Georgetown, TX",59638.00
"Bakersfield, CA",39794.00
"Baltimore-Columbia-Towson, MD",62013.00
"Bangor, ME",41615.00
"Barnstable Town, MA",74714.00
"Baton Rouge, LA",48159.00
"Battle Creek, MI",39160.00
"Bay City, MI",42367.00
"Beaumont-Port Arthur, TX",44138.00
"Beckley, WV",39312.00
"Bellingham, WA",49464.00
"Bend, OR",55612.00
"Billings, MT",52502.00
"Binghamton, NY",44427.00
"Birmingham-Hoover, AL",51723.00
"Bismarck, ND",56743.00
"Blacksburg-Christiansburg, VA",38421.00
"Bloomington, IL",49236.00
"Bloomington, IN",41888.00
"Bloomsburg-Berwick, PA",45625.00
"Boise City, ID",46664.00
"Boston-Cambridge-Newton, MA-NH",78923.00
"Boulder, CO",73518.00
"Bowling Green, KY",36186.00
"Bremerton-Silverdale-Port Orchard, WA",56297.00
"Bridgeport-Stamford-Norwalk, CT",117432.00
"Brownsville-Harlingen, TX",28940.00
"Brunswick, GA",41967.00
"Buffalo-Cheektowaga, NY",50261.00
"Burlington, NC",39940.00
"Burlington-South Burlington, VT",57041.00
"California-Lexington Park, MD",56815.00
"Canton-Massillon, OH",44670.00
"Cape Coral-Fort Myers, FL",51093.00
"Cape Girardeau, MO-IL",42894.00
"Carbondale-Marion, IL",40476.00
"Carson City, NV",50797.00
"Casper, WY",71324.00
"Cedar Rapids, IA",52261.00
"Chambersburg-Waynesboro, PA",46298.00
"Champaign-Urbana, IL",45331.00
"Charleston, WV",44198.00
"Charleston-North Charleston, SC",51202.00
"Charlotte-Concord-Gastonia, NC-SC",52295.00
"Charlottesville, VA",67735.00
"Chattanooga, TN-GA",46055.00
"Cheyenne, WY",52655.00
"Chicago-Naperville-Elgin, IL-IN-WI",61642.00
"Chico, CA",44576.00
"Cincinnati, OH-KY-IN",54055.00
"Clarksville, TN-KY",40488.00
"Cleveland, TN",38594.00
"Cleveland-Elyria, OH",53770.00
"Coeur d'Alene, ID",45409.00
"College Station-Bryan, TX",40498.00
"Colorado Springs, CO",49007.00
"Columbia, MO",45512.00
"Columbia, SC",44915.00
"Columbus, GA-AL",40980.00
"Columbus, IN",51234.00
"Columbus, OH",51114.00
"Corpus Christi, TX",43677.00
"Corvallis, OR",47070.00
"Crestview-Fort Walton Beach-Destin, FL",53010.00
"Cumberland, MD-WV",39757.00
"Dallas-Fort Worth-Arlington, TX",56864.00
"Dalton, GA",36697.00
"Danville, IL",39177.00
"Daphne-Fairhope-Foley, AL",46205.00
"Davenport-Moline-Rock Island, IA-IL",49118.00
"Dayton-Kettering, OH",47801.00
"Decatur, AL",38894.00
"Decatur, IL",48206.00
"Deltona-Daytona Beach-Ormond Beach, FL",43467.00
"Denver-Aurora-Lakewood, CO",64690.00
"Des Moines-West Des Moines, IA",53884.00
"Detroit-Warren-Dearborn, MI",52572.00
"Dothan, AL",41761.00
"Dover, DE",41638.00
"Dubuque, IA",50120.00
"Duluth, MN-WI",46004.00
"Durham-Chapel Hill, NC",52727.00
"East Stroudsburg, PA",42267.00
"Eau Claire, WI",47600.00
"El Centro, CA",37587.00
"Elizabethtown-Fort Knox, KY",41460.00
"Elkhart-Goshen, IN",46354.00
"Elmira, NY",44510.00
"El Paso, TX",36279.00
"Enid, OK",43667.00
"Erie, PA",45038.00
"Eugene-Springfield, OR",46124.00
"Evansville, IN-KY",47067.00
"Fairbanks, AK",57720.00
"Fargo, ND-MN",53315.00
"Farmington, NM",35278.00
"Fayetteville, NC",36874.00
"Fayetteville-Springdale-Rogers, AR",66909.00
"Flagstaff, AZ",48870.00
"Flint, MI",40618.00
"Florence, SC",40598.00
"Florence-Muscle Shoals, AL",37797.00
"Fond du Lac, WI",48311.00
"Fort Collins, CO",54207.00
"Fort Smith, AR-OK",37120.00
"Fort Wayne, IN",46478.00
"Fresno, CA",43438.00
"Gadsden, AL",37245.00
"Gainesville, FL",43291.00
"Gainesville, GA",44442.00
"Gettysburg, PA",48379.00
"Glens Falls, NY",46633.00
"Goldsboro, NC",38425.00
"Grand Forks, ND-MN",50258.00
"Grand Island, NE",43859.00
"Grand Junction, CO",45405.00
"Grand Rapids-Kentwood, MI",49054.00
"Grants Pass, OR",41909.00
"Great Falls, MT",47889.00
"Greeley, CO",48035.00
"Green Bay, WI",51575.00
"Greensboro-High Point, NC",43437.00
"Greenville, NC",41841.00
"Greenville-Anderson, SC",44269.00
"Gulfport-Biloxi, MS",36827.00
"Hagerstown-Martinsburg, MD-WV",43824.00
"Hammond, LA",37713.00
"Hanford-Corcoran, CA",36961.00
