Rank,City,Country,MLB[2],NBA/ABA[3],AAFC/NFL/AFL[4],NHL/WHA[5][6],MLS/NASL[7],5 Major Sports Championships
1,New York City,USA,35,4,9,8,5,61
2,Boston,USA,10,17,6,7,0,40
3,Chicago,USA,6,6,11,6,3,32
4,Los Angeles,USA,7,12,2,3,7,31
5,Montreal,Canada,0,0,0,26,0,26
6,Detroit,USA,4,3,4,11,0,22
6,San Francisco Bay Area,USA,7,5,7,0,3,22
8,Philadelphia,USA,7,4,5,2,1,19
9,Toronto,Canada,2,1,0,13,2,18
10,Pittsburgh,USA,5,1,6,5,0,17
11,St. Louis,USA,11,1,1,1,0,14
12,"Washington, D.C.",USA,2,1,5,1,4,13
12,Green Bay,USA,0,0,13,0,0,13
12,Cleveland,USA,2,1,10,0,0,13
15,Baltimore,USA,3,1,5,0,0,9
15,Dallas,USA,0,1,6,1,1,9
15,Houston,USA,1,2,2,2,2,9
18,Minneapolis,USA,2,5,0,0,0,7
18,Kansas City,USA,2,0,2,0,3,7
18,Miami,USA,2,3,2,0,0,7
21,Denver,USA,0,0,3,2,1,6
21,Tampa Bay,USA,0,0,2,2,2,6
23,San Antonio,USA,0,5,0,0,0,5
23,Edmonton,Canada,0,0,0,5,0,5
23,Cincinnati,USA,5,0,0,0,0,5
23,Seattle,USA,0,1,1,1,2,5
27,Indianapolis,USA,0,3,1,0,0,4
27,Ottawa,Canada,0,0,0,4,0,4
29,Atlanta,USA,1,0,0,0,2,3
29,Newark,USA,0,0,0,3,0,3
29,Winnipeg,Canada,0,0,0,3,0,3
32,Canton,USA,0,0,2,0,0,2
32,Columbus,USA,0,0,0,0,2,2
32,Milwaukee,USA,1,1,0,0,0,2
32,Portland,USA,0,1,0,0,1,2
32,Rochester,USA,0,1,0,0,1,2
32,Salt Lake City,USA,0,1,0,0,1,2
32,Buffalo,USA,0,0,2,0,0,2
32,Vancouver,Canada,0,0,0,1,1,2
40,Akron,USA,0,0,1,0,0,1
40,New Orleans,USA,0,0,1,0,0,1
40,Phoenix,USA,1,0,0,0,0,1
40,Providence,USA,0,0,1,0,0,1
40,Raleigh,USA,0,0,0,1,0,1
40,Syracuse,USA,0,1,0,0,0,1
40,Tulsa,USA,0,0,0,0,1,1
40,San Diego,USA,0,0,1,0,0,1
40,Louisville,USA,0,1,0,0,0,1
40,Victoria,Canada,0,0,0,1,0,1
40,Calgary,Canada,0,0,0,1,0,1
40,Quebec City,Canada,0,0,0,1,0,1
