City,MLB[2],NBA/ABA[3],AAFC/NFL/AFL[4],NHL/WHA[5][6],MLS/NASL[7],5 Major Sports Championships
New York City,35,4,9,8,5,61
Boston,10,17,6,7,0,40
Chicago,6,6,11,6,3,32
Los Angeles,7,12,2,3,7,31
Montreal,0,0,0,26,0,26
Detroit,4,3,4,11,0,22
San Francisco Bay Area,7,5,7,0,3,22
Philadelphia,7,4,5,2,1,19
Toronto,2,1,0,13,2,18
Pittsburgh,5,1,6,5,0,17
St. Louis,11,1,1,1,0,14
"Washington, D.C.",2,1,5,1,4,13
Green Bay,0,0,13,0,0,13
Cleveland,2,1,10,0,0,13
Baltimore,3,1,5,0,0,9
Dallas,0,1,6,1,1,9
Houston,1,2,2,2,2,9
Minneapolis,2,5,0,0,0,7
Kansas City,2,0,2,0,3,7
Miami,2,3,2,0,0,7
Denver,0,0,3,2,1,6
Tampa Bay,0,0,2,2,2,6
San Antonio,0,5,0,0,0,5
Edmonton,0,0,0,5,0,5
Cincinnati,5,0,0,0,0,5
Seattle,0,1,1,1,2,5
Indianapolis,0,3,1,0,0,4
Ottawa,0,0,0,4,0,4
Atlanta,1,0,0,0,2,3
Newark,0,0,0,3,0,3
Winnipeg,0,0,0,3,0,3
Canton,0,0,2,0,0,2
Columbus,0,0,0,0,2,2
Milwaukee,1,1,0,0,0,2
Portland,0,1,0,0,1,2
Rochester,0,1,0,0,1,2
Salt Lake City,0,1,0,0,1,2
Buffalo,0,0,2,0,0,2
Vancouver,0,0,0,1,1,2
Akron,0,0,1,0,0,1
New Orleans,0,0,1,0,0,1
Phoenix,1,0,0,0,0,1
Providence,0,0,1,0,0,1
Raleigh,0,0,0,1,0,1
Syracuse,0,1,0,0,0,1
Tulsa,0,0,0,0,1,1
San Diego,0,0,1,0,0,1
Louisville,0,1,0,0,0,1
Victoria,0,0,0,1,0,1
Calgary,0,0,0,1,0,1
Quebec City,0,0,0,1,0,1
