Team,Points_For,Points_Against,Wins,Games,Wins_Per,City
Real Salt Lake,53,54,14,33,0.42,Salt Lake City
New York Red Bulls,62,33,22,35,0.63,New York
Toronto FC,54,61,9,35,0.26,Toronto
Portland Timbers,53,43,15,34,0.44,Portland
New York City FC,57,45,15,34,0.44,New York
New England Rev.,48,54,10,33,0.3,Boston
Sporting Kansas City,59,39,17,33,0.52,Kansas City
DC United,60,50,14,36,0.39,Washington 
Atlanta United,67,42,20,34,0.59,Atlanta
Colorado Rapids,36,63,8,34,0.24,Denver
Orlando City,40,71,7,34,0.21,Orlando
Minnesota United,48,70,11,33,0.33,Minnesota
FC Dallas,52,44,16,34,0.47,Dallas
L.A. Galaxy,61,57,13,34,0.38,Los Angeles
Seattle Sounders FC,50,35,17,33,0.52,Seattle
Columbus Crew,42,45,14,34,0.41,Ohio
Philadelphia Union,47,46,14,34,0.41,Philadelphia
Vancouver Whitecaps,53,65,13,33,0.39,Vancouver
San Jose Earthquakes,47,63,5,33,0.15,San Jose
Chicago Fire,48,61,8,34,0.24,Chicago
Montreal Impact,43,52,13,34,0.38,Quebec
Los Angeles FC,65,49,16,34,0.47,Los Angeles
Houston Dynamo,54,57,9,35,0.26,Houston
