date,round,home_team,home_score,away_team,away_score,home_result
10/3/18,Round 0,Anaheim Ducks,5,San Jose Sharks,2,3
10/3/18,Round 0,Montreal Canadiens,2,Toronto Maple Leafs,3,-1
10/3/18,Round 0,Calgary Flames,2,Vancouver Canucks,5,-3
10/3/18,Round 0,Boston Bruins,0,Washington Capitals,7,-7
10/4/18,Round 0,Boston Bruins,4,Buffalo Sabres,0,4
10/4/18,Round 0,New York Islanders,2,Carolina Hurricanes,1,1
10/4/18,Round 0,Minnesota Wild,1,Colorado Avalanche,4,-3
10/4/18,Round 0,Arizona Coyotes,0,Dallas Stars,3,-3
10/4/18,Round 0,Columbus Blue Jackets,3,Detroit Red Wings,2,1
10/4/18,Round 0,Nashville Predators,3,New York Rangers,2,1
10/4/18,Round 0,Chicago Blackhawks,4,Ottawa Senators,3,1
10/4/18,Round 0,Washington Capitals,6,Pittsburgh Penguins,7,-1
10/4/18,Round 0,Winnipeg Jets,5,St. Louis Blues,1,4
10/4/18,Round 0,Philadelphia Flyers,5,Vegas Golden Knights,2,3
10/5/18,Round 0,Carolina Hurricanes,3,Columbus Blue Jackets,1,2
10/5/18,Round 0,San Jose Sharks,3,Los Angeles Kings,2,1
10/6/18,Round 0,Anaheim Ducks,1,Arizona Coyotes,0,1
10/6/18,Round 0,New York Rangers,1,Buffalo Sabres,3,-2
10/6/18,Round 0,Vancouver Canucks,4,Calgary Flames,7,-3
10/6/18,Round 0,Philadelphia Flyers,2,Colorado Avalanche,5,-3
10/6/18,Round 0,Winnipeg Jets,1,Dallas Stars,5,-4
10/6/18,Round 0,Vegas Golden Knights,2,Minnesota Wild,1,1
10/6/18,Round 0,Edmonton Oilers,2,New Jersey Devils,5,-3
10/6/18,Round 0,Nashville Predators,4,New York Islanders,3,1
10/6/18,Round 0,Montreal Canadiens,5,Pittsburgh Penguins,1,4
10/6/18,Round 0,Chicago Blackhawks,5,St. Louis Blues,4,1
10/6/18,Round 0,Florida Panthers,1,Tampa Bay Lightning,2,-1
10/6/18,Round 0,Ottawa Senators,5,Toronto Maple Leafs,3,2
10/7/18,Round 0,New York Rangers,5,Carolina Hurricanes,8,-3
10/7/18,Round 0,Toronto Maple Leafs,7,Chicago Blackhawks,6,1
10/7/18,Round 0,Detroit Red Wings,2,Los Angeles Kings,4,-2
10/8/18,Round 0,Detroit Red Wings,2,Anaheim Ducks,3,-1
10/8/18,Round 0,Ottawa Senators,3,Boston Bruins,6,-3
10/8/18,Round 0,Vegas Golden Knights,2,Buffalo Sabres,4,-2
10/8/18,Round 0,San Jose Sharks,0,New York Islanders,4,-4
10/9/18,Round 0,Vancouver Canucks,3,Carolina Hurricanes,5,-2
10/9/18,Round 0,Colorado Avalanche,2,Columbus Blue Jackets,5,-3
10/9/18,Round 0,Toronto Maple Leafs,7,Dallas Stars,4,3
10/9/18,Round 0,Calgary Flames,3,Nashville Predators,0,3
10/9/18,Round 0,San Jose Sharks,8,Philadelphia Flyers,2,6
10/9/18,Round 0,Los Angeles Kings,1,Winnipeg Jets,2,-1
10/10/18,Round 0,Arizona Coyotes,3,Anaheim Ducks,2,1
10/10/18,Round 0,Philadelphia Flyers,7,Ottawa Senators,4,3
10/10/18,Round 0,Vegas Golden Knights,2,Washington Capitals,5,-3
10/11/18,Round 0,Edmonton Oilers,1,Boston Bruins,4,-3
10/11/18,Round 0,Colorado Avalanche,6,Buffalo Sabres,1,5
10/11/18,Round 0,Toronto Maple Leafs,5,Detroit Red Wings,3,2
10/11/18,Round 0,Columbus Blue Jackets,5,Florida Panthers,4,1
10/11/18,Round 0,Chicago Blackhawks,3,Minnesota Wild,4,-1
10/11/18,Round 0,Los Angeles Kings,3,Montreal Canadiens,0,3
10/11/18,Round 0,Washington Capitals,0,New Jersey Devils,6,-6
10/11/18,Round 0,Winnipeg Jets,0,Nashville Predators,3,-3
10/11/18,Round 0,San Jose Sharks,2,New York Rangers,3,-1
10/11/18,Round 0,Vegas Golden Knights,2,Pittsburgh Penguins,4,-2
10/11/18,Round 0,Calgary Flames,3,St. Louis Blues,5,-2
10/11/18,Round 0,Vancouver Canucks,4,Tampa Bay Lightning,1,3
10/13/18,Round 0,Buffalo Sabres,3,Arizona Coyotes,0,3
10/13/18,Round 0,Detroit Red Wings,2,Boston Bruins,8,-6
10/13/18,Round 0,St. Louis Blues,3,Chicago Blackhawks,4,-1
10/13/18,Round 0,Calgary Flames,3,Colorado Avalanche,2,1
10/13/18,Round 0,Anaheim Ducks,3,Dallas Stars,5,-2
10/13/18,Round 0,Vancouver Canucks,3,Florida Panthers,2,1
10/13/18,Round 0,Carolina Hurricanes,5,Minnesota Wild,4,1
10/13/18,Round 0,Pittsburgh Penguins,3,Montreal Canadiens,4,-1
10/13/18,Round 0,New York Islanders,2,Nashville Predators,5,-3
10/13/18,Round 0,Edmonton Oilers,2,New York Rangers,1,1
10/13/18,Round 0,Los Angeles Kings,1,Ottawa Senators,5,-4
10/13/18,Round 0,Vegas Golden Knights,1,Philadelphia Flyers,0,1
10/13/18,Round 0,Columbus Blue Jackets,2,Tampa Bay Lightning,8,-6
10/13/18,Round 0,Toronto Maple Leafs,4,Washington Capitals,2,2
10/14/18,Round 0,San Jose Sharks,2,New Jersey Devils,3,-1
10/14/18,Round 0,Anaheim Ducks,3,St. Louis Blues,2,1
10/14/18,Round 0,Carolina Hurricanes,1,Winnipeg Jets,3,-2
10/15/18,Round 0,Detroit Red Wings,3,Montreal Canadiens,7,-4
10/15/18,Round 0,Minnesota Wild,2,Nashville Predators,4,-2
10/15/18,Round 0,Dallas Stars,1,Ottawa Senators,4,-3
10/15/18,Round 0,Los Angeles Kings,1,Toronto Maple Leafs,4,-3
10/16/18,Round 0,Arizona Coyotes,1,Minnesota Wild,2,-1
10/16/18,Round 0,Dallas Stars,0,New Jersey Devils,3,-3
10/16/18,Round 0,Colorado Avalanche,2,New York Rangers,3,-1
10/16/18,Round 0,Florida Panthers,5,Philadelphia Flyers,6,-1
10/16/18,Round 0,Vancouver Canucks,3,Pittsburgh Penguins,2,1
10/16/18,Round 0,Carolina Hurricanes,2,Tampa Bay Lightning,4,-2
10/16/18,Round 0,Buffalo Sabres,1,Vegas Golden Knights,4,-3
10/16/18,Round 0,Edmonton Oilers,5,Winnipeg Jets,4,1
10/17/18,Round 0,New York Islanders,1,Anaheim Ducks,4,-3
10/17/18,Round 0,Boston Bruins,2,Calgary Flames,5,-3
10/17/18,Round 0,St. Louis Blues,2,Montreal Canadiens,3,-1
10/17/18,Round 0,New York Rangers,3,Washington Capitals,4,-1
10/18/18,Round 0,Philadelphia Flyers,3,Columbus Blue Jackets,6,-3
10/18/18,Round 0,Arizona Coyotes,4,Chicago Blackhawks,1,3
10/18/18,Round 0,Boston Bruins,2,Edmonton Oilers,3,-1
10/18/18,Round 0,New York Islanders,7,Los Angeles Kings,2,5
10/18/18,Round 0,Colorado Avalanche,5,New Jersey Devils,3,2
10/18/18,Round 0,Buffalo Sabres,1,San Jose Sharks,5,-4
10/18/18,Round 0,Detroit Red Wings,1,Tampa Bay Lightning,3,-2
10/18/18,Round 0,Pittsburgh Penguins,3,Toronto Maple Leafs,0,3
10/18/18,Round 0,Vancouver Canucks,1,Winnipeg Jets,4,-3
10/19/18,Round 0,Nashville Predators,5,Calgary Flames,3,2
10/19/18,Round 0,Minnesota Wild,3,Dallas Stars,1,2
10/19/18,Round 0,Florida Panthers,6,Washington Capitals,5,1
10/20/18,Round 0,Colorado Avalanche,3,Carolina Hurricanes,1,2
10/20/18,Round 0,Chicago Blackhawks,4,Columbus Blue Jackets,1,3
10/20/18,Round 0,Nashville Predators,3,Edmonton Oilers,0,3
10/20/18,Round 0,Detroit Red Wings,4,Florida Panthers,3,1
10/20/18,Round 0,Buffalo Sabres,5,Los Angeles Kings,1,4
10/20/18,Round 0,Tampa Bay Lightning,4,Minnesota Wild,5,-1
10/20/18,Round 0,Montreal Canadiens,3,Ottawa Senators,4,-1
10/20/18,Round 0,New Jersey Devils,2,Philadelphia Flyers,5,-3
10/20/18,Round 0,New York Islanders,1,San Jose Sharks,4,-3
10/20/18,Round 0,St. Louis Blues,4,Toronto Maple Leafs,1,3
10/20/18,Round 0,Boston Bruins,1,Vancouver Canucks,2,-1
10/20/18,Round 0,Anaheim Ducks,1,Vegas Golden Knights,3,-2
10/20/18,Round 0,Arizona Coyotes,3,Winnipeg Jets,5,-2
10/21/18,Round 0,Buffalo Sabres,4,Anaheim Ducks,2,2
10/21/18,Round 0,Tampa Bay Lightning,6,Chicago Blackhawks,3,3
10/21/18,Round 0,Calgary Flames,4,New York Rangers,1,3
10/22/18,Round 0,Carolina Hurricanes,3,Detroit Red Wings,1,2
10/22/18,Round 0,Colorado Avalanche,4,Philadelphia Flyers,1,3
10/22/18,Round 0,Washington Capitals,5,Vancouver Canucks,2,3
10/22/18,Round 0,St. Louis Blues,4,Winnipeg Jets,5,-1
10/23/18,Round 0,Arizona Coyotes,4,Columbus Blue Jackets,1,3
10/23/18,Round 0,Anaheim Ducks,1,Chicago Blackhawks,3,-2
10/23/18,Round 0,Los Angeles Kings,2,Dallas Stars,4,-2
10/23/18,Round 0,Pittsburgh Penguins,6,Edmonton Oilers,5,1
10/23/18,Round 0,Calgary Flames,2,Montreal Canadiens,3,-1
10/23/18,Round 0,San Jose Sharks,5,Nashville Predators,4,1
10/23/18,Round 0,Florida Panthers,2,New York Rangers,5,-3
10/23/18,Round 0,Boston Bruins,4,Ottawa Senators,1,3
10/24/18,Round 0,Tampa Bay Lightning,1,Colorado Avalanche,0,1
10/24/18,Round 0,Florida Panthers,3,New York Islanders,2,1
10/24/18,Round 0,Vancouver Canucks,3,Vegas Golden Knights,2,1
10/24/18,Round 0,Toronto Maple Leafs,4,Winnipeg Jets,2,2
10/25/18,Round 0,Vancouver Canucks,1,Arizona Coyotes,4,-3
10/25/18,Round 0,Philadelphia Flyers,0,Boston Bruins,3,-3
10/25/18,Round 0,Montreal Canadiens,3,Buffalo Sabres,4,-1
10/25/18,Round 0,Pittsburgh Penguins,9,Calgary Flames,1,8
10/25/18,Round 0,New York Rangers,1,Chicago Blackhawks,4,-3
10/25/18,Round 0,Anaheim Ducks,2,Dallas Stars,5,-3
10/25/18,Round 0,Washington Capitals,1,Edmonton Oilers,4,-3
10/25/18,Round 0,Los Angeles Kings,1,Minnesota Wild,4,-3
10/25/18,Round 0,Nashville Predators,4,New Jersey Devils,3,1
10/25/18,Round 0,Columbus Blue Jackets,7,St. Louis Blues,4,3
10/26/18,Round 0,San Jose Sharks,3,Carolina Hurricanes,4,-1
10/26/18,Round 0,Ottawa Senators,3,Colorado Avalanche,6,-3
10/26/18,Round 0,Winnipeg Jets,2,Detroit Red Wings,1,1
10/26/18,Round 0,Tampa Bay Lightning,3,Vegas Golden Knights,2,1
10/27/18,Round 0,Tampa Bay Lightning,1,Arizona Coyotes,7,-6
10/27/18,Round 0,Montreal Canadiens,3,Boston Bruins,0,3
10/27/18,Round 0,Buffalo Sabres,4,Columbus Blue Jackets,5,-1
10/27/18,Round 0,Washington Capitals,4,Calgary Flames,3,1
10/27/18,Round 0,Colorado Avalanche,2,Minnesota Wild,3,-1
10/27/18,Round 0,Florida Panthers,2,New Jersey Devils,3,-1
10/27/18,Round 0,Edmonton Oilers,5,Nashville Predators,3,2
10/27/18,Round 0,New York Islanders,6,Philadelphia Flyers,1,5
10/27/18,Round 0,Chicago Blackhawks,3,St. Louis Blues,7,-4
10/27/18,Round 0,Winnipeg Jets,2,Toronto Maple Leafs,3,-1
10/27/18,Round 0,Pittsburgh Penguins,5,Vancouver Canucks,0,5
10/28/18,Round 0,San Jose Sharks,4,Anaheim Ducks,3,1
10/28/18,Round 0,New York Islanders,2,Carolina Hurricanes,1,1
10/28/18,Round 0,Edmonton Oilers,2,Chicago Blackhawks,1,1
10/28/18,Round 0,Dallas Stars,2,Detroit Red Wings,4,-2
10/28/18,Round 0,New York Rangers,3,Los Angeles Kings,4,-1
10/28/18,Round 0,Ottawa Senators,3,Vegas Golden Knights,4,-1
10/29/18,Round 0,Calgary Flames,3,Toronto Maple Leafs,1,2
10/29/18,Round 0,Minnesota Wild,2,Vancouver Canucks,5,-3
