date,round,home_team,home_score,away_team,away_score,home_result
2/23/18,Round ,Boston Red Sox,4,Minnesota Twins,3,1
2/23/18,Round ,Toronto Blue Jays,2,Philadelphia Phillies,1,1
2/23/18,Round ,Cleveland Indians,4,Cincinnati Reds,6,-2
2/23/18,Round ,Colorado Rockies,6,Arizona Diamondbacks,7,-1
2/24/18,Round ,Houston Astros,6,Atlanta Braves,1,5
2/24/18,Round ,Philadelphia Phillies,9,Baltimore Orioles,6,3
2/24/18,Round ,Detroit Tigers,5,Toronto Blue Jays,4,1
2/24/18,Round ,Cincinnati Reds,4,Colorado Rockies,11,-7
2/24/18,Round ,Arizona Diamondbacks,2,Cleveland Indians,11,-9
2/24/18,Round ,Baltimore Orioles,1,Minnesota Twins,1,0
2/25/18,Round ,Boston Red Sox,7,Baltimore Orioles,1,6
2/25/18,Round ,Detroit Tigers,8,Pittsburgh Pirates,8,0
2/25/18,Round ,Toronto Blue Jays,3,Detroit Tigers,6,-3
2/25/18,Round ,Texas Rangers,4,Colorado Rockies,2,2
2/25/18,Round ,Cincinnati Reds,2,Cleveland Indians,2,0
2/25/18,Round ,Arizona Diamondbacks,1,Milwaukee Brewers,5,-4
2/26/18,Round ,Pittsburgh Pirates,2,Boston Red Sox,13,-11
2/26/18,Round ,Baltimore Orioles,6,Detroit Tigers,8,-2
2/26/18,Round ,Miami Marlins,11,Houston Astros,0,11
2/26/18,Round ,Cincinnati Reds,2,Arizona Diamondbacks,5,-3
2/26/18,Round ,Milwaukee Brewers,7,Cleveland Indians,6,1
2/26/18,Round ,Arizona Diamondbacks,7,Colorado Rockies,4,3
2/27/18,Round ,Philadelphia Phillies,6,Detroit Tigers,11,-5
2/27/18,Round ,Atlanta Braves,3,Pittsburgh Pirates,3,0
2/27/18,Round ,Milwaukee Brewers,6,Cincinnati Reds,3,3
2/27/18,Round ,Cleveland Indians,16,Oakland Athletics,8,8
2/27/18,Round ,Minnesota Twins,2,Boston Red Sox,3,-1
2/28/18,Round ,Boston Red Sox,4,Pittsburgh Pirates,3,1
2/28/18,Round ,Houston Astros,2,Minnesota Twins,4,-2
2/28/18,Round ,Toronto Blue Jays,7,Philadelphia Phillies,1,6
2/28/18,Round ,Cleveland Indians,4,Seattle Mariners,2,2
2/28/18,Round ,Arizona Diamondbacks,3,Colorado Rockies,9,-6
3/1/18,Round ,Detroit Tigers,2,Atlanta Braves,5,-3
3/1/18,Round ,Houston Astros,10,Boston Red Sox,5,5
3/1/18,Round ,Pittsburgh Pirates,4,Toronto Blue Jays,1,3
3/1/18,Round ,Oakland Athletics,4,Texas Rangers,9,-5
3/1/18,Round ,Arizona Diamondbacks,1,Milwaukee Brewers,6,-5
3/2/18,Round ,Detroit Tigers,8,Miami Marlins,3,5
3/2/18,Round ,Baltimore Orioles,10,Pittsburgh Pirates,8,2
3/2/18,Round ,Minnesota Twins,2,Toronto Blue Jays,1,1
3/2/18,Round ,Milwaukee Brewers,2,Seattle Mariners,4,-2
3/2/18,Round ,Cleveland Indians,9,Texas Rangers,4,5
3/2/18,Round ,Colorado Rockies,15,Arizona Diamondbacks,6,9
3/3/18,Round ,Philadelphia Phillies,2,Baltimore Orioles,4,-2
3/3/18,Round ,Pittsburgh Pirates,4,Philadelphia Phillies,3,1
3/3/18,Round ,Toronto Blue Jays,13,Minnesota Twins,8,5
3/3/18,Round ,Colorado Rockies,5,Milwaukee Brewers,6,-1
3/4/18,Round ,Atlanta Braves,5,Miami Marlins,2,3
3/4/18,Round ,Baltimore Orioles,10,Boston Red Sox,8,2
3/4/18,Round ,Minnesota Twins,3,Pittsburgh Pirates,9,-6
3/4/18,Round ,Philadelphia Phillies,4,Toronto Blue Jays,2,2
3/4/18,Round ,Milwaukee Brewers,2,Cleveland Indians,6,-4
3/4/18,Round ,Texas Rangers,7,Seattle Mariners,10,-3
3/5/18,Round ,Houston Astros,5,Miami Marlins,3,2
3/5/18,Round ,Philadelphia Phillies,4,Minnesota Twins,3,1
3/5/18,Round ,Atlanta Braves,7,Pittsburgh Pirates,5,2
3/6/18,Round ,Minnesota Twins,9,Baltimore Orioles,8,1
3/6/18,Round ,Toronto Blue Jays,1,Atlanta Braves,5,-4
3/6/18,Round ,Cincinnati Reds,7,Cleveland Indians,6,1
3/6/18,Round ,Oakland Athletics,5,Texas Rangers,3,2
3/6/18,Round ,Seattle Mariners,2,Colorado Rockies,3,-1
3/7/18,Round ,Philadelphia Phillies,2,Boston Red Sox,1,1
3/7/18,Round ,Houston Astros,6,Miami Marlins,7,-1
3/7/18,Round ,Detroit Tigers,5,Toronto Blue Jays,6,-1
