date,round,home_team,home_score,away_team,away_score,home_result
3/3/18,Round 1,Toronto FC,0,Columbus Crew,2,-2
3/3/18,Round 1,Houston Dynamo,4,Atlanta United,0,4
3/4/18,Round 1,Philadelphia Union,2,New England Rev.,0,2
3/4/18,Round 1,Orlando City,1,DC United,1,0
3/4/18,Round 1,FC Dallas,1,Real Salt Lake,1,0
3/4/18,Round 1,San Jose Earthquakes,3,Minnesota United,2,1
3/4/18,Round 1,Seattle Sounders FC,0,Los Angeles FC,1,-1
3/4/18,Round 1,Vancouver Whitecaps,2,Montreal Impact,1,1
3/5/18,Round 1,Sporting Kansas City,0,New York City FC,2,-2
3/5/18,Round 1,L.A. Galaxy,2,Portland Timbers,1,1
3/10/18,Round 1,Columbus Crew,3,Montreal Impact,2,1
3/10/18,Round 1,New England Rev.,2,Colorado Rapids,1,1
3/10/18,Round 1,Real Salt Lake,1,Los Angeles FC,5,-4
3/10/18,Round 1,Chicago Fire,3,Sporting Kansas City,4,-1
3/10/18,Round 1,Houston Dynamo,1,Vancouver Whitecaps,2,-1
3/11/18,Round 1,New York Red Bulls,4,Portland Timbers,0,4
3/11/18,Round 1,Orlando City,1,Minnesota United,2,-1
3/11/18,Round 1,Atlanta United,3,DC United,1,2
3/11/18,Round 1,New York City FC,2,L.A. Galaxy,1,1
3/17/18,Round 1,DC United,2,Houston Dynamo,2,0
3/17/18,Round 1,Philadelphia Union,0,Columbus Crew,0,0
3/17/18,Round 1,Minnesota United,2,Chicago Fire,1,1
3/17/18,Round 1,Montreal Impact,1,Toronto FC,0,1
3/17/18,Round 1,New York City FC,2,Orlando City,0,2
3/17/18,Round 1,Atlanta United,4,Vancouver Whitecaps,1,3
3/18/18,Round 1,Sporting Kansas City,3,San Jose Earthquakes,2,1
3/18/18,Round 1,Real Salt Lake,1,New York Red Bulls,0,1
3/18/18,Round 1,FC Dallas,3,Seattle Sounders FC,0,3
3/24/18,Round 1,New England Rev.,2,New York City FC,2,0
3/24/18,Round 1,FC Dallas,1,Portland Timbers,1,0
3/24/18,Round 1,Columbus Crew,3,DC United,1,2
3/24/18,Round 1,New York Red Bulls,3,Minnesota United,0,3
3/25/18,Round 1,Colorado Rapids,2,Sporting Kansas City,2,0
3/25/18,Round 1,Vancouver Whitecaps,0,L.A. Galaxy,0,0
3/31/18,Round 1,Toronto FC,3,Real Salt Lake,1,2
3/31/18,Round 1,Orlando City,4,New York Red Bulls,3,1
3/31/18,Round 1,L.A. Galaxy,4,Los Angeles FC,3,1
3/31/18,Round 1,Columbus Crew,1,Vancouver Whitecaps,2,-1
3/31/18,Round 1,Chicago Fire,2,Portland Timbers,2,0
4/1/18,Round 1,San Jose Earthquakes,1,New York City FC,2,-1
4/1/18,Round 1,Minnesota United,0,Atlanta United,1,-1
4/1/18,Round 1,Houston Dynamo,0,New England Rev.,2,-2
