date,round,home_team,home_score,away_team,away_score,home_result
10/17/18,Round 1,Boston Celtics,105,Philadelphia 76ers,87,18
10/17/18,Round 1,Golden State Warriors,108,Oklahoma City Thunder,100,8
10/18/18,Round 1,Charlotte Hornets,112,Milwaukee Bucks,113,-1
10/18/18,Round 1,Detroit Pistons,103,Brooklyn Nets,100,3
10/18/18,Round 1,Indiana Pacers,111,Memphis Grizzlies,83,28
10/18/18,Round 1,Orlando Magic,104,Miami Heat,101,3
10/18/18,Round 1,New York Knicks,126,Atlanta Hawks,107,19
10/18/18,Round 1,Toronto Raptors,116,Cleveland Cavaliers,104,12
10/18/18,Round 1,Houston Rockets,112,New Orleans Pelicans,131,-19
10/18/18,Round 1,San Antonio Spurs,112,Minnesota Timberwolves,108,4
10/18/18,Round 1,Sacramento Kings,117,Utah Jazz,123,-6
10/18/18,Round 1,Los Angeles Clippers,98,Denver Nuggets,107,-9
10/18/18,Round 1,Phoenix Suns,121,Dallas Mavericks,100,21
10/19/18,Round 1,Philadelphia 76ers,127,Chicago Bulls,108,19
10/19/18,Round 1,Washington Wizards,112,Miami Heat,113,-1
10/19/18,Round 1,Portland Trail Blazers,128,Los Angeles Lakers,119,9
10/20/18,Round 1,Orlando Magic,88,Charlotte Hornets,120,-32
10/20/18,Round 1,Brooklyn Nets,107,New York Knicks,105,2
10/20/18,Round 1,Memphis Grizzlies,131,Atlanta Hawks,117,14
10/20/18,Round 1,Minnesota Timberwolves,131,Cleveland Cavaliers,123,8
10/20/18,Round 1,New Orleans Pelicans,149,Sacramento Kings,129,20
10/20/18,Round 1,Toronto Raptors,113,Boston Celtics,101,12
10/20/18,Round 1,Milwaukee Bucks,118,Indiana Pacers,101,17
10/20/18,Round 1,Los Angeles Clippers,108,Oklahoma City Thunder,92,16
10/20/18,Round 1,Utah Jazz,123,Golden State Warriors,124,-1
10/21/18,Round 1,Indiana Pacers,132,Brooklyn Nets,112,20
10/21/18,Round 1,Washington Wizards,113,Toronto Raptors,117,-4
10/21/18,Round 1,New York Knicks,101,Boston Celtics,103,-2
10/21/18,Round 1,Philadelphia 76ers,116,Orlando Magic,115,1
10/21/18,Round 1,Chicago Bulls,116,Detroit Pistons,118,-2
10/21/18,Round 1,Miami Heat,112,Charlotte Hornets,113,-1
10/21/18,Round 1,Dallas Mavericks,140,Minnesota Timberwolves,136,4
10/21/18,Round 1,Denver Nuggets,119,Phoenix Suns,91,28
10/21/18,Round 1,Portland Trail Blazers,121,San Antonio Spurs,108,13
10/21/18,Round 1,Los Angeles Lakers,115,Houston Rockets,124,-9
10/21/18,Round 1,Cleveland Cavaliers,111,Atlanta Hawks,133,-22
10/22/18,Round 1,Oklahoma City Thunder,120,Sacramento Kings,131,-11
10/22/18,Round 1,Denver Nuggets,100,Golden State Warriors,98,2
10/22/18,Round 1,Los Angeles Clippers,115,Houston Rockets,112,3
10/23/18,Round 0,Toronto Raptors,127,Charlotte Hornets,106,21
10/23/18,Round 0,Milwaukee Bucks,124,New York Knicks,113,11
10/23/18,Round 0,Minnesota Timberwolves,101,Indiana Pacers,91,10
10/23/18,Round 0,Dallas Mavericks,115,Chicago Bulls,109,6
10/23/18,Round 0,Utah Jazz,84,Memphis Grizzlies,92,-8
10/23/18,Round 0,Portland Trail Blazers,124,Washington Wizards,125,-1
10/23/18,Round 0,Golden State Warriors,123,Phoenix Suns,103,20
10/23/18,Round 0,Los Angeles Lakers,142,San Antonio Spurs,143,-1
10/23/18,Round 1,Boston Celtics,90,Orlando Magic,93,-3
10/24/18,Round 0,Detroit Pistons,133,Philadelphia 76ers,132,1
10/24/18,Round 0,New Orleans Pelicans,116,Los Angeles Clippers,109,7
10/24/18,Round 0,Denver Nuggets,126,Sacramento Kings,112,14
10/25/18,Round 0,Atlanta Hawks,111,Dallas Mavericks,104,7
10/25/18,Round 0,Cleveland Cavaliers,86,Brooklyn Nets,102,-16
10/25/18,Round 0,Miami Heat,110,New York Knicks,87,23
10/25/18,Round 0,Toronto Raptors,112,Minnesota Timberwolves,105,7
10/25/18,Round 0,Chicago Bulls,112,Charlotte Hornets,110,2
10/25/18,Round 0,Houston Rockets,89,Utah Jazz,100,-11
10/25/18,Round 0,San Antonio Spurs,96,Indiana Pacers,116,-20
10/25/18,Round 0,Milwaukee Bucks,123,Philadelphia 76ers,108,15
10/25/18,Round 0,Phoenix Suns,113,Los Angeles Lakers,131,-18
10/25/18,Round 0,Sacramento Kings,97,Memphis Grizzlies,92,5
10/25/18,Round 0,Golden State Warriors,144,Washington Wizards,122,22
10/26/18,Round 0,Detroit Pistons,110,Cleveland Cavaliers,103,7
10/26/18,Round 0,Orlando Magic,114,Portland Trail Blazers,128,-14
10/26/18,Round 0,Oklahoma City Thunder,95,Boston Celtics,101,-6
10/26/18,Round 0,Los Angeles Lakers,121,Denver Nuggets,114,7
10/27/18,Round 0,Charlotte Hornets,135,Chicago Bulls,106,29
10/27/18,Round 0,New York Knicks,100,Golden State Warriors,128,-28
10/27/18,Round 0,Toronto Raptors,116,Dallas Mavericks,107,9
10/27/18,Round 0,Houston Rockets,113,Los Angeles Clippers,133,-20
10/27/18,Round 0,Minnesota Timberwolves,95,Milwaukee Bucks,125,-30
10/27/18,Round 0,New Orleans Pelicans,117,Brooklyn Nets,115,2
10/27/18,Round 0,Sacramento Kings,116,Washington Wizards,112,4
10/28/18,Round 0,Detroit Pistons,89,Boston Celtics,109,-20
10/28/18,Round 0,New Orleans Pelicans,111,Utah Jazz,132,-21
10/28/18,Round 0,Atlanta Hawks,85,Chicago Bulls,97,-12
10/28/18,Round 0,Cleveland Cavaliers,107,Indiana Pacers,119,-12
10/28/18,Round 0,Philadelphia 76ers,105,Charlotte Hornets,103,2
10/28/18,Round 0,Memphis Grizzlies,117,Phoenix Suns,96,21
10/28/18,Round 0,Miami Heat,120,Portland Trail Blazers,111,9
10/28/18,Round 0,Milwaukee Bucks,113,Orlando Magic,91,22
